property_id,property_type,neighborhood,city,sqft,sale_price,price_per_sqft,sale_date,status
P0001,Condo,Westside,San Diego,3319,844984.21,254.59,2024-07-17,Sold
P0003,Condo,South Bay,Sacramento,1595,535728.6,335.88,2023-02-24,Sold
P0005,Single Family,Downtown,Sacramento,1336,433211.36,324.26,2024-11-20,Sold
P0007,Townhouse,South Bay,San Diego,4477,1941316.74,433.62,2024-08-23,Sold
P0009,Condo,North Hills,San Jose,1838,889187.64,483.78,2025-01-17,Sold
P0010,Condo,South Bay,San Diego,3445,1236341.6,358.88,2023-05-27,Sold
P0011,Townhouse,Downtown,San Diego,2593,1125984.32,434.24,2024-03-25,Sold
P0012,Single Family,Westside,Fresno,3997,1564225.95,391.35,2024-07-02,Sold
P0017,Single Family,South Bay,San Jose,2867,999006.15,348.45,2023-01-24,Sold
P0018,Multi-Family,Downtown,San Jose,1156,435407.4,376.65,2023-11-20,Sold
P0021,Townhouse,Westside,Los Angeles,779,198606.05,254.95,2025-01-13,Sold
P0027,Townhouse,Downtown,Fresno,1637,368586.92,225.16,2023-03-06,Sold
P0030,Single Family,Downtown,Los Angeles,2151,997633.8,463.8,2025-08-14,Closed
P0031,Condo,Westside,San Diego,3682,1499789.06,407.33,2023-08-12,Closed
P0032,Multi-Family,Westside,Los Angeles,1274,589428.84,462.66,2024-07-24,Closed
P0037,Single Family,South Bay,Fresno,1334,409844.82,307.23,2024-03-21,Sold
P0038,Multi-Family,South Bay,Fresno,3763,1468021.56,390.12,2023-04-13,Sold
P0041,Townhouse,North Hills,San Diego,3236,760233.48,234.93,2025-12-06,Sold
P0042,Townhouse,East Park,San Jose,1677,600298.92,357.96,2023-09-26,Sold
P0043,Single Family,South Bay,San Diego,738,359442.9,487.05,2023-07-24,Sold
P0046,Single Family,South Bay,San Diego,4296,1159834.08,269.98,2023-08-25,Sold
P0049,Townhouse,Westside,Sacramento,714,288084.72,403.48,2023-09-25,Closed
P0050,Condo,South Bay,Los Angeles,2997,558880.56,186.48,2023-06-04,Sold
P0054,Townhouse,East Park,San Diego,4310,1966394.4,456.24,2024-01-03,Sold
P0063,Townhouse,South Bay,San Jose,3252,1269320.64,390.32,2023-09-13,Closed
P0064,Condo,Westside,Sacramento,2036,915405.96,449.61,2024-08-28,Closed
P0066,Townhouse,East Park,Sacramento,1944,723615.12,372.23,2025-05-30,Closed
P0067,Condo,Downtown,San Jose,3467,1120465.06,323.18,2025-08-27,Sold
