property_id,property_type,neighborhood,city,sqft,sale_price,price_per_sqft,sale_date,status
P0001,Condo,Westside,San Diego,3319,844984.21,254.59,2024-07-17,Sold
P0002,Multi-Family,Downtown,Los Angeles,3471,2347263.75,676.25,2023-06-28,Sold
P0003,Condo,South Bay,Sacramento,1595,535728.6,335.88,2023-02-24,Sold
P0004,Condo,East Park,San Jose,2539,1459442.59,574.81,2023-01-14,Sold
P0005,Single Family,Downtown,Sacramento,1336,433211.36,324.26,2024-11-20,Sold
P0006,Single Family,East Park,Fresno,2170,1622769.4,747.82,2024-06-25,Sold
P0007,Townhouse,South Bay,San Diego,4477,1941316.74,433.62,2024-08-23,Sold
P0008,Single Family,Westside,Los Angeles,887,552645.35,623.05,2024-08-15,Closed
P0009,Condo,North Hills,San Jose,1838,889187.64,483.78,2025-01-17,Sold
P0010,Condo,South Bay,San Diego,3445,1236341.6,358.88,2023-05-27,Sold
P0011,Townhouse,Downtown,San Diego,2593,1125984.32,434.24,2024-03-25,Sold
P0012,Single Family,Westside,Fresno,3997,1564225.95,391.35,2024-07-02,Sold
P0013,Multi-Family,Westside,San Jose,1570,972049.8,619.14,2025-03-21,Sold
P0014,Multi-Family,South Bay,Sacramento,1710,1161329.4,679.14,2024-06-22,Sold
P0015,Multi-Family,Downtown,Los Angeles,1598,1355439.58,848.21,2023-10-11,Sold
P0016,Single Family,East Park,Sacramento,1326,796117.14,600.39,2025-05-14,Closed
P0017,Single Family,South Bay,San Jose,2867,999006.15,348.45,2023-01-24,Sold
P0018,Multi-Family,Downtown,San Jose,1156,435407.4,376.65,2023-11-20,Sold
P0019,Condo,Westside,San Jose,2779,2199467.34,791.46,2024-09-03,Sold
P0020,Single Family,South Bay,San Jose,2909,2382005.56,818.84,2025-12-22,Closed
P0021,Townhouse,Westside,Los Angeles,779,198606.05,254.95,2025-01-13,Sold
P0022,Single Family,East Park,Los Angeles,4296,2406318.48,560.13,2023-06-11,Sold
P0023,Townhouse,South Bay,Fresno,1225,761986.75,622.03,2023-12-05,Closed
P0024,Townhouse,East Park,San Jose,1567,1257313.79,802.37,2024-02-16,Closed
P0025,Condo,Westside,Los Angeles,4384,2309403.52,526.78,2023-09-05,Sold
P0026,Condo,Downtown,Los Angeles,786,451297.62,574.17,2024-04-16,Sold
P0027,Townhouse,Downtown,Fresno,1637,368586.92,225.16,2023-03-06,Sold
P0028,Condo,South Bay,Fresno,1840,1155924.8,628.22,2024-03-14,Closed
P0029,Condo,Downtown,Los Angeles,1695,1196161.5,705.7,2025-04-13,Closed
P0030,Single Family,Downtown,Los Angeles,2151,997633.8,463.8,2025-08-14,Closed
P0031,Condo,Westside,San Diego,3682,1499789.06,407.33,2023-08-12,Closed
P0032,Multi-Family,Westside,Los Angeles,1274,589428.84,462.66,2024-07-24,Closed
P0033,Single Family,South Bay,Los Angeles,4009,3035213.9,757.1,2023-07-20,Sold
P0034,Condo,East Park,Sacramento,4494,3077895.66,684.89,2024-04-29,Closed
P0035,Condo,East Park,Los Angeles,1575,1195929.0,759.32,2023-05-01,Closed
P0036,Townhouse,East Park,Fresno,1786,1430175.22,800.77,2025-07-20,Closed
P0037,Single Family,South Bay,Fresno,1334,409844.82,307.23,2024-03-21,Sold
P0038,Multi-Family,South Bay,Fresno,3763,1468021.56,390.12,2023-04-13,Sold
P0039,Condo,Downtown,Fresno,932,767707.04,823.72,2023-06-14,Sold
P0040,Single Family,South Bay,San Diego,3465,2624460.3,757.42,2025-04-06,Sold
P0041,Townhouse,North Hills,San Diego,3236,760233.48,234.93,2025-12-06,Sold
P0042,Townhouse,East Park,San Jose,1677,600298.92,357.96,2023-09-26,Sold
P0043,Single Family,South Bay,San Diego,738,359442.9,487.05,2023-07-24,Sold
P0044,Condo,North Hills,San Jose,1242,1000157.76,805.28,2023-05-21,Sold
P0045,Single Family,South Bay,San Jose,2494,1842093.34,738.61,2024-09-11,Sold
P0046,Single Family,South Bay,San Diego,4296,1159834.08,269.98,2023-08-25,Sold
P0047,Condo,North Hills,Fresno,1854,1085034.96,585.24,2024-12-03,Closed
P0048,Single Family,East Park,San Jose,1728,1359210.24,786.58,2023-04-15,Sold
P0049,Townhouse,Westside,Sacramento,714,288084.72,403.48,2023-09-25,Closed
P0050,Condo,South Bay,Los Angeles,2997,558880.56,186.48,2023-06-04,Sold
P0051,Condo,Downtown,San Jose,3085,1697336.15,550.19,2025-05-30,Sold
P0052,Townhouse,Westside,San Diego,4382,3528254.94,805.17,2023-03-23,Sold
P0053,Condo,Westside,San Diego,2148,1509356.64,702.68,2025-04-12,Sold
P0054,Townhouse,East Park,San Diego,4310,1966394.4,456.24,2024-01-03,Sold
P0055,Multi-Family,Downtown,Sacramento,1352,956594.08,707.54,2023-08-10,Sold
P0056,Townhouse,North Hills,San Diego,1517,1103025.87,727.11,2025-07-31,Sold
P0057,Townhouse,North Hills,Los Angeles,796,495287.12,622.22,2025-03-27,Sold
P0058,Townhouse,Downtown,Los Angeles,2138,1303731.02,609.79,2025-03-29,Sold
P0059,Single Family,Downtown,Fresno,1431,814239.0,569.0,2024-06-27,Closed
P0060,Multi-Family,South Bay,Fresno,2115,1413094.95,668.13,2024-10-04,Sold
P0061,Townhouse,Downtown,Sacramento,2277,1782139.59,782.67,2024-01-25,Sold
P0062,Townhouse,East Park,Los Angeles,2829,2263596.06,800.14,2024-02-08,Sold
P0063,Townhouse,South Bay,San Jose,3252,1269320.64,390.32,2023-09-13,Closed
P0064,Condo,Westside,Sacramento,2036,915405.96,449.61,2024-08-28,Closed
P0065,Townhouse,East Park,Fresno,3474,2366662.5,681.25,2023-12-23,Sold
P0066,Townhouse,East Park,Sacramento,1944,723615.12,372.23,2025-05-30,Closed
P0067,Condo,Downtown,San Jose,3467,1120465.06,323.18,2025-08-27,Sold
P0068,Townhouse,Westside,San Diego,1082,788063.88,728.34,2024-04-26,Sold
P0069,Single Family,East Park,Sacramento,800,168768.0,210.96,2025-08-31,Sold
P0070,Multi-Family,Westside,San Diego,3642,2354771.52,646.56,2025-10-09,Sold
P0071,Multi-Family,Westside,San Diego,4356,2975801.4,683.15,2023-08-07,Closed
P0072,Multi-Family,Westside,Sacramento,905,500881.3,553.46,2023-09-06,Sold
P0073,Multi-Family,South Bay,Sacramento,3793,2948147.18,777.26,2025-10-30,Sold
P0074,Townhouse,Westside,San Jose,3746,2836471.2,757.2,2025-07-10,Closed
P0075,Single Family,North Hills,San Diego,3267,1111727.43,340.29,2025-06-19,Sold
P0076,Condo,Westside,San Diego,2075,817985.75,394.21,2023-06-15,Closed
P0077,Single Family,East Park,Sacramento,3542,1000189.96,282.38,2024-03-14,Sold
P0078,Condo,East Park,Sacramento,2922,1438120.74,492.17,2023-05-08,Sold
P0079,Multi-Family,Downtown,San Jose,4209,3241098.36,770.04,2025-02-18,Sold
P0080,Condo,East Park,San Diego,3786,1670723.94,441.29,2025-05-08,Sold
P0081,Townhouse,East Park,San Diego,2485,1255869.3,505.38,2025-03-07,Closed
P0082,Single Family,East Park,Fresno,4466,1185767.66,265.51,2025-12-29,Sold
P0083,Multi-Family,Westside,Los Angeles,1043,636897.52,610.64,2023-10-05,Sold
P0084,Townhouse,North Hills,Sacramento,2252,899291.16,399.33,2025-07-20,Sold
P0085,Townhouse,Downtown,Sacramento,3780,3089431.8,817.31,2025-05-13,Sold
P0086,Condo,Downtown,Los Angeles,3768,2040032.88,541.41,2024-12-17,Sold
P0087,Condo,Westside,San Diego,1712,536831.84,313.57,2023-02-11,Closed
P0088,Multi-Family,North Hills,San Jose,3442,883354.88,256.64,2024-03-22,Sold
P0089,Condo,North Hills,Los Angeles,3181,1866801.66,586.86,2023-08-23,Sold
P0090,Multi-Family,Westside,Los Angeles,1977,1118547.06,565.78,2025-02-07,Sold
P0091,Single Family,South Bay,Los Angeles,1117,722833.04,647.12,2024-09-09,Sold
P0092,Single Family,South Bay,San Jose,2882,1345922.82,467.01,2025-01-28,Sold
P0093,Single Family,East Park,San Jose,4179,1928357.76,461.44,2025-09-30,Closed
P0094,Townhouse,South Bay,Fresno,3597,1016152.5,282.5,2023-12-27,Closed
P0095,Townhouse,Westside,Los Angeles,2604,1228645.32,471.83,2024-07-03,Sold
P0096,Multi-Family,North Hills,Los Angeles,4311,2078074.44,482.04,2025-08-09,Closed
P0097,Condo,North Hills,San Jose,4185,1664625.6,397.76,2025-09-25,Sold
P0098,Single Family,South Bay,San Diego,1845,1420299.45,769.81,2024-07-19,Sold
P0099,Condo,East Park,Sacramento,1688,1118215.6,662.45,2025-09-27,Closed
P0100,Condo,East Park,San Diego,3947,756047.85,191.55,2024-08-25,Sold
P0101,Townhouse,East Park,Fresno,3419,1947599.16,569.64,2025-08-27,Sold
P0102,Townhouse,North Hills,San Diego,2141,1393598.31,650.91,2024-07-08,Sold
P0103,Condo,Westside,San Diego,3654,1129195.62,309.03,2023-09-02,Closed
P0104,Townhouse,Downtown,San Diego,1832,1219141.04,665.47,2025-12-10,Sold
P0105,Single Family,South Bay,San Diego,1631,687939.49,421.79,2024-09-11,Sold
P0106,Condo,East Park,Los Angeles,886,737843.08,832.78,2024-08-21,Sold
P0107,Multi-Family,North Hills,San Diego,3051,1130426.01,370.51,2025-09-07,Sold
P0108,Single Family,Downtown,Sacramento,1734,1405424.34,810.51,2025-09-05,Closed
P0109,Condo,Westside,Fresno,1003,568299.8,566.6,2023-04-20,Sold
P0110,Multi-Family,South Bay,Fresno,1048,886534.64,845.93,2023-08-31,Sold
P0111,Multi-Family,North Hills,Fresno,3877,2055275.24,530.12,2025-07-11,Closed
P0112,Single Family,Westside,San Diego,1950,1093911.0,560.98,2023-05-04,Sold
P0113,Condo,South Bay,Los Angeles,3405,798132.0,234.4,2024-05-06,Sold
P0114,Townhouse,Downtown,San Diego,710,322134.1,453.71,2025-08-20,Sold
P0115,Single Family,Westside,San Jose,3595,1328064.9,369.42,2025-07-18,Sold
P0116,Condo,North Hills,San Diego,2441,627092.9,256.9,2024-04-05,Sold
P0117,Townhouse,East Park,Los Angeles,944,274864.48,291.17,2024-09-21,Closed
P0118,Townhouse,South Bay,Fresno,3520,1350764.8,383.74,2025-04-04,Closed
P0119,Multi-Family,North Hills,Fresno,2493,583112.7,233.9,2023-03-23,Sold
P0120,Townhouse,South Bay,Los Angeles,805,194157.95,241.19,2023-02-12,Sold
P0121,Townhouse,Westside,Fresno,2627,1386294.17,527.71,2025-06-24,Closed
P0122,Multi-Family,North Hills,Sacramento,3300,2394282.0,725.54,2023-07-06,Sold
P0123,Townhouse,East Park,Sacramento,2015,1267414.85,628.99,2023-11-26,Sold
P0124,Multi-Family,Downtown,San Jose,3413,2775724.64,813.28,2023-03-17,Sold
P0125,Single Family,South Bay,Sacramento,2024,521524.08,257.67,2025-04-07,Closed
P0126,Multi-Family,East Park,Los Angeles,922,281836.96,305.68,2025-01-10,Sold
P0127,Multi-Family,East Park,Los Angeles,1793,982528.14,547.98,2024-08-12,Sold
P0128,Condo,North Hills,Fresno,3280,1928443.2,587.94,2024-05-05,Sold
P0129,Single Family,East Park,Los Angeles,2962,1342822.7,453.35,2024-04-05,Sold
P0130,Townhouse,East Park,Sacramento,2741,2206176.08,804.88,2024-08-20,Closed
P0131,Multi-Family,Westside,Fresno,1698,825312.9,486.05,2023-10-24,Sold
P0132,Townhouse,South Bay,San Jose,4239,961278.03,226.77,2025-04-29,Sold
P0133,Condo,East Park,Fresno,1858,1238264.1,666.45,2025-09-29,Closed
P0134,Multi-Family,North Hills,San Diego,2113,850968.49,402.73,2025-02-11,Sold
P0135,Single Family,North Hills,Sacramento,3042,1328106.78,436.59,2025-04-21,Closed
P0136,Multi-Family,Downtown,San Diego,2281,1921149.44,842.24,2023-11-08,Sold
P0137,Single Family,South Bay,Sacramento,4262,1053736.88,247.24,2025-06-20,Sold
P0138,Single Family,East Park,San Jose,3659,1012006.22,276.58,2023-11-13,Sold
P0139,Townhouse,South Bay,Sacramento,3252,2094645.72,644.11,2023-06-14,Sold
P0140,Single Family,South Bay,Los Angeles,3267,2161251.18,661.54,2025-09-26,Sold
P0141,Condo,Downtown,Sacramento,3285,2097636.75,638.55,2024-08-11,Sold
P0142,Multi-Family,Westside,San Jose,3814,2305982.54,604.61,2023-07-25,Sold
P0143,Townhouse,North Hills,San Jose,888,352829.04,397.33,2023-04-25,Closed
P0144,Condo,Westside,San Diego,1296,445318.56,343.61,2025-04-23,Sold
P0145,Multi-Family,South Bay,San Diego,3196,2440018.16,763.46,2024-05-08,Sold
P0146,Townhouse,Downtown,Sacramento,2588,1571951.2,607.4,2025-07-30,Sold
P0147,Multi-Family,North Hills,Fresno,3475,1898114.5,546.22,2023-06-01,Sold
P0148,Multi-Family,North Hills,San Diego,3317,2735065.52,824.56,2024-05-27,Closed
P0149,Multi-Family,South Bay,San Jose,4195,2113231.25,503.75,2024-04-30,Sold
P0150,Townhouse,Downtown,Fresno,3564,1346479.2,377.8,2025-03-21,Sold
P0151,Townhouse,Westside,Fresno,4429,2596678.41,586.29,2025-10-14,Sold
P0152,Condo,Downtown,Los Angeles,1597,968628.41,606.53,2024-05-28,Sold
P0153,Condo,Downtown,San Jose,3930,1868125.5,475.35,2025-01-17,Sold
P0154,Condo,South Bay,San Jose,3761,1724004.79,458.39,2024-02-16,Sold
P0155,Townhouse,North Hills,Los Angeles,4101,1190274.24,290.24,2025-09-13,Closed
P0156,Multi-Family,South Bay,San Jose,1008,276504.48,274.31,2024-04-07,Sold
P0157,Single Family,East Park,San Jose,3938,1749889.68,444.36,2024-06-25,Sold
P0158,Single Family,Westside,Sacramento,3094,1346787.26,435.29,2025-01-30,Sold
P0159,Condo,Downtown,Sacramento,3237,2500388.28,772.44,2024-11-02,Sold
P0160,Single Family,Downtown,San Jose,3359,1523508.04,453.56,2023-10-14,Closed
P0161,Multi-Family,East Park,San Jose,1175,288016.0,245.12,2023-10-05,Closed
P0162,Multi-Family,Downtown,Sacramento,3105,2103078.6,677.32,2023-11-13,Closed
P0163,Condo,East Park,Sacramento,1845,372542.4,201.92,2025-01-28,Sold
P0164,Townhouse,Downtown,Sacramento,4203,1777869.0,423.0,2025-01-22,Sold
P0165,Single Family,Westside,Fresno,1477,1223989.9,828.7,2025-07-20,Sold
P0166,Condo,South Bay,San Diego,907,641385.05,707.15,2024-05-13,Sold
P0167,Condo,Westside,San Jose,4098,2838520.68,692.66,2024-02-29,Sold
P0168,Townhouse,Westside,San Diego,3930,3078604.8,783.36,2023-01-06,Sold
P0169,Condo,Downtown,San Jose,3970,1178732.7,296.91,2023-02-22,Sold
P0170,Townhouse,Downtown,San Diego,3111,1234849.23,396.93,2023-12-23,Closed
P0171,Multi-Family,East Park,San Jose,2854,731052.1,256.15,2023-05-11,Sold
P0172,Townhouse,East Park,Los Angeles,2551,1320321.07,517.57,2023-03-30,Sold
P0173,Single Family,East Park,Sacramento,2661,1989603.09,747.69,2025-05-23,Sold
P0174,Single Family,Westside,San Jose,4383,1026191.79,234.13,2023-10-31,Sold
P0175,Townhouse,East Park,Fresno,2260,1912864.0,846.4,2025-12-22,Closed
P0176,Condo,East Park,Sacramento,1106,786775.22,711.37,2023-08-23,Sold
P0177,Multi-Family,East Park,Los Angeles,2394,974549.52,407.08,2025-07-17,Sold
P0178,Townhouse,Westside,Sacramento,2448,953226.72,389.39,2024-06-06,Sold
P0179,Multi-Family,Downtown,San Jose,1073,791112.17,737.29,2023-07-10,Sold
P0180,Single Family,East Park,San Jose,2978,655725.82,220.19,2024-11-06,Closed
P0181,Townhouse,South Bay,San Jose,4255,3376853.1,793.62,2023-04-16,Sold
P0182,Condo,East Park,San Diego,1124,637544.04,567.21,2024-03-11,Sold
P0183,Single Family,North Hills,Fresno,2134,1592817.6,746.4,2025-01-22,Sold
P0184,Townhouse,Downtown,San Diego,4006,1872845.06,467.51,2023-02-23,Sold
P0185,Townhouse,Downtown,San Diego,3578,2471718.18,690.81,2024-11-26,Sold
P0186,Condo,Downtown,Los Angeles,3019,1873047.98,620.42,2023-05-23,Sold
P0187,Condo,North Hills,San Jose,2240,1033289.6,461.29,2024-11-29,Sold
P0188,Single Family,Westside,San Diego,3881,3146481.94,810.74,2023-06-23,Sold
P0189,Multi-Family,East Park,Fresno,3460,811923.6,234.66,2025-06-26,Closed
P0190,Single Family,North Hills,Sacramento,2396,869795.92,363.02,2025-11-15,Sold
P0191,Townhouse,Downtown,San Diego,1860,1180002.6,634.41,2025-09-23,Closed
P0192,Townhouse,Westside,San Diego,3154,683471.8,216.7,2024-02-23,Sold
P0193,Multi-Family,East Park,San Diego,1885,753698.4,399.84,2023-01-16,Sold
P0194,Townhouse,Downtown,Sacramento,2257,1211625.31,536.83,2024-04-16,Sold
P0195,Townhouse,South Bay,Sacramento,2486,478704.16,192.56,2023-06-09,Closed
P0196,Single Family,East Park,Los Angeles,3606,2195657.34,608.89,2024-08-15,Sold
P0197,Townhouse,Downtown,Sacramento,1403,1005796.67,716.89,2025-07-31,Sold
P0198,Single Family,East Park,San Jose,1696,800342.4,471.9,2025-03-31,Sold
P0199,Single Family,South Bay,Los Angeles,1607,647878.12,403.16,2023-12-11,Sold
P0200,Condo,Westside,Los Angeles,4410,3087308.7,700.07,2024-12-20,Sold
P0201,Single Family,Westside,Sacramento,1748,545673.16,312.17,2023-11-10,Closed
P0202,Townhouse,North Hills,San Diego,3790,2113683.0,557.7,2025-07-08,Closed
P0203,Townhouse,South Bay,Los Angeles,979,483802.22,494.18,2024-09-12,Sold
P0204,Multi-Family,Downtown,Los Angeles,2778,638134.38,229.71,2025-08-03,Sold
P0205,Multi-Family,East Park,Fresno,4106,1528828.04,372.34,2023-07-04,Sold
P0206,Townhouse,South Bay,Sacramento,2542,2005790.52,789.06,2024-01-21,Sold
P0207,Single Family,South Bay,San Diego,953,459203.05,481.85,2024-12-04,Sold
P0208,Condo,North Hills,San Jose,1714,1121144.54,654.11,2025-06-18,Sold
P0209,Single Family,North Hills,Los Angeles,2286,1037569.68,453.88,2024-11-23,Sold
P0210,Townhouse,North Hills,Fresno,1087,602024.08,553.84,2025-03-02,Sold
P0211,Townhouse,North Hills,Sacramento,2065,484469.65,234.61,2023-10-17,Sold
P0212,Townhouse,South Bay,Sacramento,3137,2054484.04,654.92,2023-06-23,Sold
P0213,Single Family,East Park,Fresno,4030,1070448.6,265.62,2025-12-14,Sold
P0214,Condo,North Hills,Sacramento,774,327355.56,422.94,2024-01-05,Sold
P0215,Single Family,North Hills,Los Angeles,1627,1382917.46,849.98,2023-11-14,Sold
P0216,Multi-Family,Westside,San Diego,3411,1383603.93,405.63,2023-09-26,Sold
P0217,Multi-Family,Downtown,Sacramento,4105,2644482.05,644.21,2023-12-06,Sold
P0218,Townhouse,East Park,San Diego,3470,2297556.4,662.12,2025-06-28,Sold
P0219,Condo,North Hills,Fresno,1967,1626610.65,826.95,2025-08-18,Closed
P0220,Multi-Family,Westside,San Diego,2591,1802092.32,695.52,2025-02-21,Sold
P0221,Townhouse,South Bay,Los Angeles,4275,1485562.5,347.5,2025-09-11,Sold
P0222,Townhouse,East Park,Fresno,1867,440985.4,236.2,2023-11-25,Sold
P0223,Multi-Family,North Hills,Los Angeles,4103,1941170.33,473.11,2024-03-30,Closed
P0224,Condo,East Park,Los Angeles,918,409079.16,445.62,2025-02-04,Sold
P0225,Townhouse,Westside,San Diego,1619,322002.91,198.89,2023-07-22,Sold
P0226,Condo,East Park,Sacramento,1875,1489987.5,794.66,2025-08-25,Sold
P0227,Condo,Westside,Fresno,4410,1027882.8,233.08,2024-06-08,Closed
P0228,Townhouse,Downtown,Los Angeles,1155,808546.2,700.04,2024-05-01,Sold
P0229,Single Family,Downtown,Sacramento,2419,1470993.9,608.1,2025-07-25,Sold
P0230,Condo,North Hills,Sacramento,3288,1727186.4,525.3,2024-05-10,Sold
P0231,Condo,Downtown,Fresno,3218,1339943.02,416.39,2025-05-03,Sold
P0232,Single Family,East Park,Sacramento,977,799948.06,818.78,2025-11-05,Sold
P0233,Townhouse,Downtown,San Jose,3303,1450710.63,439.21,2025-02-03,Sold
P0234,Townhouse,Westside,Los Angeles,2112,721353.6,341.55,2023-08-01,Sold
